timeout_subtype,n,mean,std,sigma2_h0,sigma2_h1,glrt_stat,glrt_p,t_stat,t_p,ci_low,ci_high,crit,reject_h0,signif,metric,slice,streak_bucket,margin_bucket,time_bucket
official_inferred,1771,0.10567406792970298,2.9896639089996992,8.94421038024907,8.933043371616257,2.2125070366420463,0.13689604090481933,1.4874943946030015,0.13706239949302246,-0.033660301753763985,0.24500843761316993,3.8414588206941205,false,ns,excess_net_post,streak_bucket,up3-5,,
official_inferred,382,0.005343345184241489,3.068405599215196,9.3904945801688,9.390466028831042,0.0011614540119232678,0.9728132678541039,0.03403550084028306,0.9728666651138012,-0.30333841315611376,0.3140251035245968,3.8414588206941205,false,ns,excess_net_post,streak_bucket,up6-9,,
challenge,224,-0.004676604679179931,2.8982345022110927,8.362286157447896,8.36226428681657,0.0005858479046360563,0.9806896520856259,-0.024150223081707948,0.9807543789926625,-0.3862876931619644,0.37693448380360456,3.8414588206941205,false,ns,excess_net_post,margin_bucket,,down1-5,
challenge,93,-0.20568569032065515,2.785868651329088,7.719918443053759,7.677611839851075,0.5110591019101494,0.4746807380638728,-0.7120080708183518,0.47826147437898703,-0.7794285338097426,0.3680571531684323,3.8414588206941205,false,ns,excess_net_post,margin_bucket,,down15+,
challenge,288,0.1501105273172878,2.8891144910236717,8.340533134382767,8.317999963971292,0.7791270693634312,0.37740824600752587,0.8817442614198401,0.37865297780316887,-0.18497207747291694,0.48519313210749254,3.8414588206941205,false,ns,excess_net_post,margin_bucket,,down6-15,
challenge,46,-0.7524893254947415,2.8405489653553153,8.459551687291182,7.89331150230765,3.1868995306393626,0.07423067627584479,-1.7967058397975186,0.07909631601097633,-1.596028243777782,0.09104959278829916,3.8414588206941205,false,ns,excess_net_post,margin_bucket,,tied,
challenge,251,-0.2517795667647933,2.876399343215208,8.304103290527996,8.240710340287729,1.9234678289788516,0.16547487254168247,-1.3867818905788722,0.16674356188277928,-0.6093552285240795,0.105796094994493,3.8414588206941205,false,ns,excess_net_post,margin_bucket,,up1-5,
challenge,128,-0.50749470433131,2.728009183296693,7.641444087636733,7.38389321271241,4.388552564623172,0.03618101707365573,-2.1047022806002227,0.037288042900289975,-0.9846360292329273,-0.030353379429692906,3.8414588206941205,true,*,excess_net_post,margin_bucket,,up15+,
challenge,366,-0.04461331639819379,2.782102832226665,7.720938713343012,7.718948365342967,0.09436174867591504,0.7587036468842826,-0.30678341158363415,0.7591831737813464,-0.3305851003269837,0.24135846753059612,3.8414588206941205,false,ns,excess_net_post,margin_bucket,,up6-15,
full,13777,0.024663923038998354,2.9440444814974573,8.667377097288313,8.666768788188639,0.9669555713922502,0.32544062600503787,0.9833205565737866,0.32546696492546845,-0.024500765041531123,0.07382861111952783,3.8414588206941205,false,ns,excess_net_post,margin_bucket,,down1-5,
full,7733,0.1668634989337297,2.9691831230288344,8.842751789954391,8.814908362677984,24.38753489675024,7.877676889700425e-7,4.941950234586701,7.89704304171579e-7,0.1006755293390214,0.233051468528438,3.8414588206941205,true,***,excess_net_post,margin_bucket,,down15+,
full,19018,0.10724508311126119,2.9620921421386774,8.785030014501512,8.77352850664997,24.914995993742625,5.991455275244917e-7,4.992996338864897,5.997565377668934e-7,0.06514413505312738,0.149346031169395,3.8414588206941205,true,***,excess_net_post,margin_bucket,,down6-15,
full,2982,0.01426306914350063,2.9307573287332236,8.586661559853649,8.586458124712257,0.07065036554835956,0.7903921920308381,0.2657583675686714,0.7904436858867683,-0.0909695793227545,0.11949571760975576,3.8414588206941205,false,ns,excess_net_post,margin_bucket,,tied,
full,12333,-0.08803440844465675,2.9517671353908344,8.719972805829084,8.712222748758883,10.966083973166745,0.0009279464984726093,-3.3121097794995875,0.0009286146082951863,-0.14013449509602052,-0.03593432179329298,3.8414588206941205,true,***,excess_net_post,margin_bucket,,up1-5,
full,5112,-0.26000595157917566,2.951389629915656,8.776599871235511,8.70899677637892,39.52839011317648,3.2332458932415875e-10,-6.298717996452942,3.252502711603711e-10,-0.34093083360099047,-0.17908106955736086,3.8414588206941205,true,***,excess_net_post,margin_bucket,,up15+,
full,13281,-0.15779162730473548,2.9558510941753244,8.761296027302585,8.736397829655107,37.79620204099583,7.853452332895472e-10,-6.152006581974228,7.870655238662039e-10,-0.20806694675899526,-0.1075163078504757,3.8414588206941205,true,***,excess_net_post,margin_bucket,,up6-15,
official_inferred,3404,-0.0405852436918221,2.9371206171677215,8.625790405205038,8.624143243199514,0.6500824406783224,0.42008320640319907,-0.8061969520148526,0.420185629616197,-0.1392880706933053,0.05811758330966108,3.8414588206941205,false,ns,excess_net_post,margin_bucket,,down1-5,
official_inferred,1073,0.23784141704242373,2.885666594973719,8.37587968556589,8.319311145905141,7.271348492508249,0.007006318173061188,2.6998596771921233,0.007046073565672106,0.06498520206326397,0.4106976320215835,3.8414588206941205,true,**,excess_net_post,margin_bucket,,down15+,
official_inferred,2987,0.1313944669285205,3.000898129838446,9.019639230681411,9.002374724741982,5.722900353274091,0.016745047586467443,2.393004061584808,0.016772475547224275,0.023733616309854627,0.23905531754718637,3.8414588206941205,true,*,excess_net_post,margin_bucket,,down6-15,
official_inferred,743,-0.13484330144628642,2.9151916601643797,8.505087254700019,8.486904538755084,1.5901329600212963,0.20730713857195515,-1.2608303985428444,0.207766262075882,-0.34480002403792553,0.07511342114535272,3.8414588206941205,false,ns,excess_net_post,margin_bucket,,tied,
official_inferred,3085,-0.03940348040618037,2.9451647167912345,8.672736175485191,8.67118354121707,0.5523407405228551,0.45736284305575026,-0.7431090986114399,0.45747223327395203,-0.14337169208127348,0.06456473126891274,3.8414588206941205,false,ns,excess_net_post,margin_bucket,,up1-5,
official_inferred,959,-0.12373482610116382,3.0135268710181027,9.087184911830049,9.071874604639763,1.617108866374038,0.20349538657041089,-1.2715287595758447,0.2038492111709238,-0.314703833515292,0.06723418131296438,3.8414588206941205,false,ns,excess_net_post,margin_bucket,,up15+,
official_inferred,2287,-0.09276485089703532,2.9721160454668256,8.838216633141762,8.829611315579813,2.2278191611948337,0.13554504681454493,-1.4926252044433592,0.13567331313448894,-0.2146387694597403,0.02910906766566966,3.8414588206941205,false,ns,excess_net_post,margin_bucket,,up6-15,
challenge,30,-0.818299252492756,2.6129465500880675,7.269520351126766,6.599906684496562,2.8990440806357283,0.08863209921544579,-1.715308563678012,0.09695662396751437,-1.7939895293165469,0.1573910243310347,3.8414588206941205,false,ns,excess_net_post,time_bucket,,,OT
challenge,150,-0.140575881911057,2.9022565002465135,8.386700419843391,8.36693884126832,0.3538620015377549,0.5519350442606121,-0.5932266510464973,0.5539288741701425,-0.6088282684677019,0.32767650464558784,3.8414588206941205,false,ns,excess_net_post,time_bucket,,,Q1
challenge,331,0.13388341346435811,2.9118229651714667,8.471022301829827,8.453097533428958,0.7011414025569169,0.40240043204888687,0.8365189939251957,0.403468324614757,-0.18096012001531925,0.4487269469440355,3.8414588206941205,false,ns,excess_net_post,time_bucket,,,Q2
challenge,356,-0.22401412990945713,2.884298507383025,8.34599173290089,8.2958094025018,2.146998828406334,0.14284888216423985,-1.4654135620639148,0.14369322341072288,-0.5246539166076125,0.07662565678869826,3.8414588206941205,false,ns,excess_net_post,time_bucket,,,Q3
